Ville,Température
city,temp
Forville,6.53
city,temp
La Portanière,13.13
city,temp
Wittenheim,3.72
city,temp
Wattrelos,6.34
city,temp
Vitré,6.28
city,temp
Viry-Châtillon,5.43
city,temp
Villeneuve-le-Roi,5.45
city,temp
Vierzon,2.47
city,temp
Verrières-le-Buisson,5.1
city,temp
Arrondissement d'Antony,5.4
city,temp
Vallauris,13.44
city,temp
Tourcoing,6.28
city,temp
Taverny,5.41
city,temp
Soisy-sous-Montmorency,5.69
city,temp
Sin-le-Noble,6.16
city,temp
Sèvres,5.1
city,temp
Salon-de-Provence,10.7
city,temp
Saint-Ouen-sur-Seine,5.57
city,temp
Saint-Fons,0.81
city,temp
Saint-Avold,4.29
city,temp
Rezé,6.31
city,temp
Pontivy,7.04
city,temp
Pessac,9.8
city,temp
Palaiseau,5.18
city,temp
Ozoir-la-Ferrière,4.98
city,temp
Oullins,0.88
city,temp
Mougins,13.47
city,temp
Morsang-sur-Orge,5.39
city,temp
Montélimar,8.2
city,temp
Montbéliard,3.09
city,temp
Maisons-Alfort,5.56
city,temp
Louviers,6.72
city,temp
Limeil-Brévannes,5.32
city,temp
Les Pavillons-sous-Bois,5.39
city,temp
Lattes,10.88
city,temp
Grigny,5.17
city,temp
Goussainville,5.4
city,temp
Gien,4.24
city,temp
Gagny,5.46
city,temp
Firminy,0.21
city,temp
Échirolles,6.87
city,temp
Décines-Charpieu,0.84
city,temp
Dammarie-les-Lys,5.06
city,temp
Colombes,5.64
city,temp
Cognac,2.05
city,temp
Chenôve,2.67
city,temp
Chelles,5.36
city,temp
Cesson-Sévigné,7.05
city,temp
Cayenne,5.56
city,temp
Carvin,6.34
city,temp
Bonneuil-sur-Marne,5.49
city,temp
Belfort,2.6
city,temp
Bayeux,7.13
city,temp
Bagnolet,5.29
city,temp
Autun,0.5
city,temp
Auch,11.59
city,temp
Annecy-le-Vieux,1.54
city,temp
Alfortville,5.6
city,temp
Les Ulis,4.66
city,temp
Saint-Jean-de-la-Ruelle,4.22
city,temp
Saint-Herblain,6.1
city,temp
Saint-Étienne,-0.43
city,temp
Saint-Cyr-sur-Loire,5.14
city,temp
Paris,5.54
city,temp
Arrondissement de Boulogne-sur-Mer,6.45
city,temp
Outreau,6.52
city,temp
Orvault,6.29
city,temp
Arrondissement de Metz,4.68
city,temp
Maurepas,4.68
city,temp
Laon,3.68
city,temp
La Crau,13.31
city,temp
La Courneuve,5.66
city,temp
Gentilly,5.31
city,temp
Garches,4.79
city,temp
Croix,6.34
city,temp
Couëron,6.42
city,temp
Cernay,3.11
city,temp
Montussan,9.91
city,temp
Saint-Laurent,5.76
city,temp
Saint-Bris-le-Vineux,2.64
city,temp
Garanou,8.17
city,temp
Provence-Alpes-Côte d'Azur Region,10.13
city,temp
Var,13.53
city,temp
Arrondissement de Narbonne,11.79
city,temp
Carbonne,12.13
city,temp
Carbonne,12.02
city,temp
Arrondissement de Marseille,10.4
city,temp
Saint-Pierre,11.5
city,temp
Ilharre,13.46
city,temp
Les Mées,12.21
city,temp
Castelsarrasin,13.06
city,temp
Vallabrix,7.96
city,temp
Lussolle,10.98
city,temp
Pontenx-les-Forges,13.37
city,temp
Pontenx-les-Forges,13.37
city,temp
